sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,y
5.1,3.5,1.4,0.2,setosa,2.091
4.9,3.0,1.4,0.2,setosa,1.572
4.7,3.2,1.3,0.2,setosa,2.01
4.6,3.1,1.5,0.2,setosa,2.038
5.0,3.6,1.4,0.2,setosa,1.69
7.0,3.2,4.7,1.4,versicolor,2.858
6.4,3.2,4.5,1.5,versicolor,2.766
6.9,3.1,4.9,1.5,versicolor,2.699
5.5,2.3,4.0,1.3,versicolor,2.446
6.5,2.8,4.6,1.5,versicolor,2.746
6.3,3.3,6.0,2.5,virginica,3.254
5.8,2.7,5.1,1.9,virginica,3.08
7.1,3.0,5.9,2.1,virginica,3.179
6.3,2.9,5.6,1.8,virginica,3.238
6.5,3.0,5.8,2.2,virginica,3.013
